T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
20.6,28.9,14.9,-,61.0,6.9,3.1,3.5,288.4166666666667
nan,nan,nan,nan,nan,nan,nan,nan,256.8333333333333
nan,nan,nan,nan,nan,nan,nan,nan,175.75
nan,nan,nan,nan,nan,nan,nan,nan,180.79166666666663
20.8,27.3,15.6,-,70.0,6.0,3.5,5.4,166.91666666666666
19.9,27.3,14.9,-,68.0,6.3,3.3,5.4,169.0
20.6,27.4,16.0,-,65.0,6.3,3.9,7.6,186.04166666666663
nan,nan,nan,nan,nan,nan,nan,nan,185.58333333333331
nan,nan,nan,nan,nan,nan,nan,nan,114.08333333333331
nan,nan,nan,nan,nan,nan,nan,nan,140.45833333333334
20.1,27.5,14.9,-,67.0,6.9,4.3,5.4,nan
23.3,28.4,20,-,77,6.3,6.7,11.1,160.375
23.9,28.9,21,-,74,6.3,11.1,14.8,99.375
23.2,28,21.4,-,81,6.6,7.4,14.8,123.875
nan,nan,nan,nan,nan,nan,nan,nan,131.41666666666666
nan,nan,nan,nan,nan,nan,nan,nan,53.875
nan,nan,nan,nan,nan,nan,nan,nan,31.45833333333333
24.1,29.4,20.4,-,78,6.9,6.3,7.6,47.375
23.4,28.4,21,-,79,6.6,5.7,9.4,38.16666666666666
23.7,27.7,21,-,75,6.9,9.4,13,42.54166666666666
nan,nan,nan,nan,nan,nan,nan,nan,35.791666666666664
nan,nan,nan,nan,nan,nan,nan,nan,43.45833333333334
nan,nan,nan,nan,nan,nan,nan,nan,35.958333333333336
22.9,28.4,20.5,-,85,5.5,7.6,11.1,25.08333333333333
23.1,27.4,20.4,-,81,5.5,7.8,11.1,45.83333333333334
23.2,28.2,21,-,81,5.5,7.4,14.8,33.708333333333336
nan,nan,nan,nan,nan,nan,nan,nan,31.875
nan,nan,nan,nan,nan,nan,nan,nan,69.79166666666667
nan,nan,nan,nan,nan,nan,nan,nan,62.91666666666666
23.6,27.8,20.8,-,73,8.2,7.2,11.1,26.41666666666667
22.8,28.4,20.7,-,83,6.3,6.9,11.1,30.66666666666667
23.6,29.2,20.2,-,79,6.9,6.9,9.4,29.95833333333333
